Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00015.ppm;41;42;5;6;36;37;5
00000_00016.ppm;41;42;5;5;36;37;5
00000_00017.ppm;42;45;5;6;37;40;5
00000_00018.ppm;44;46;5;6;39;41;5
00000_00019.ppm;47;48;6;6;42;43;5
00000_00020.ppm;48;49;5;5;43;44;5
00000_00021.ppm;51;51;6;5;46;46;5
00000_00022.ppm;51;52;5;5;46;47;5
00000_00023.ppm;55;57;6;6;50;52;5
00000_00024.ppm;58;59;6;5;53;54;5
00000_00025.ppm;63;63;6;6;58;58;5
00000_00026.ppm;67;68;6;6;61;62;5
00000_00027.ppm;72;75;7;6;66;69;5
00000_00028.ppm;81;85;8;8;74;78;5
00000_00029.ppm;84;88;7;7;77;81;5
00001_00015.ppm;35;35;6;5;29;29;5
00001_00016.ppm;36;35;6;5;30;30;5
00001_00017.ppm;36;36;6;6;31;31;5
00001_00018.ppm;37;36;6;5;32;31;5
00001_00019.ppm;38;38;6;6;32;32;5
00001_00020.ppm;39;37;6;5;33;32;5
00001_00021.ppm;39;38;5;5;33;33;5
00001_00022.ppm;40;39;6;5;35;34;5
00001_00023.ppm;39;39;5;5;34;34;5
00001_00024.ppm;41;40;6;5;36;35;5
00001_00025.ppm;40;41;5;5;35;35;5
00001_00026.ppm;42;42;6;6;37;37;5
00001_00027.ppm;43;43;6;6;38;38;5
00001_00028.ppm;44;43;6;5;39;38;5
00001_00029.ppm;45;45;6;6;40;40;5
00002_00015.ppm;36;36;6;6;30;30;5
00002_00016.ppm;35;35;5;5;30;30;5
00002_00017.ppm;36;35;6;5;31;30;5
00002_00018.ppm;37;37;6;5;32;32;5
00002_00019.ppm;37;37;6;5;32;32;5
00002_00020.ppm;38;38;6;5;33;33;5
00002_00021.ppm;38;38;6;5;33;33;5
00002_00022.ppm;38;40;5;6;33;35;5
00002_00023.ppm;38;41;5;6;33;35;5
00002_00024.ppm;39;42;5;6;33;36;5
00002_00025.ppm;41;43;6;6;36;38;5
00002_00026.ppm;42;44;6;6;37;39;5
00002_00027.ppm;45;47;6;6;40;42;5
00002_00028.ppm;47;49;6;6;42;44;5
00002_00029.ppm;49;52;5;6;44;46;5
00003_00015.ppm;34;34;5;6;29;29;5
00003_00016.ppm;36;35;6;6;31;30;5
